
# Surface 0 of 1 surfaces

# Contour 0, label:        0
 1.66667 -1.07858 -5 
 1.60606 -1.30639 -5 
 1.54545 -1.45635 -5 
 1.48485 -1.56141 -5 
 1.42424 -1.63679 -5 
 1.38916 -1.66667 -5 
 1.36364 -1.67789 -5 
 1.30303 -1.69131 -5 
 1.24242 -1.69219 -5 
 1.18182 -1.68423 -5 


# Contour 3, label:      -10
-0.164455  3 -10 
-0.151515  2.98789 -10 
-0.0909091  2.93981 -10 
-0.030303  2.91282 -10 
 0.030303  2.91282 -10 
 0.0909091  2.93981 -10 
 0.151515  2.98789 -10 
 0.164455  3 -10 

# Contour 4, label: 
 3  0.586898 -10 
 2.93939  0.693042 -10 
 2.87879  0.850418 -10 
 2.83487  1 -10 
 2.81818  1.59981 -10 
 2.81541  1.66667 -10 
 2.75758  1.80673 -10 
 2.69697  1.94104 -10 
 2.63636  2.05884 -10 
 2.57576  2.15979 -10 
 2.51515  2.24491 -10 
 2.45455  2.31505 -10 
 2.4346  2.33333 -10 
 2.39394  2.35714 -10 
 2.33333  2.38157 -10 
 2.27273  2.39465 -10 
 2.21212  2.39865 -10 
 2.15152  2.39865 -10 
 2.09091  2.40181 -10 
 2.0303  2.41547 -10 
 1.9697  2.44506 -10 
 1.90909  2.49266 -10 
 1.84848  2.55628 -10 
 1.78788  2.63013 -10 
 1.72727  2.70625 -10 
 1.66667  2.77705 -10 
 1.60606  2.8371 -10 
 1.54545  2.88345 -10 
 1.48485  2.91462 -10 
 1.42424  2.92973 -10 
 1.36364  2.92824 -10 
 1.30303  2.91067 -10 
 1.24242  2.88001 -10 
 1.18182  2.84286 -10 
 1.12121  2.80899 -10 
 1.06061  2.7889 -10 
 1  2.79076 -10 
 0.939394  2.81815 -10 
 0.878788  2.86907 -10 
 0.818182  2.93632 -10 
 0.7651  3 -10 

# Contour 5, label: 
-3  0.586898 -10 
-2.93939  0.693042 -10 
-2.87879  0.850418 -10 
-2.83487  1 -10 
-2.81818  1.59981 -10 
-2.81541  1.66667 -10 
-2.75758  1.80673 -10 
-2.69697  1.94104 -10 
-2.63636  2.05884 -10 
-2.57576  2.15979 -10 
-2.51515  2.24491 -10 
-2.45455  2.31505 -10 
-2.4346  2.33333 -10 
-2.39394  2.35714 -10 
-2.33333  2.38157 -10 
-2.27273  2.39465 -10 
-2.21212  2.39865 -10 
-2.15152  2.39865 -10 
-2.09091  2.40181 -10 
-2.0303  2.41547 -10 
-1.9697  2.44506 -10 
-1.90909  2.49266 -10 
-1.84848  2.55628 -10 
-1.78788  2.63013 -10 
-1.72727  2.70625 -10 
-1.66667  2.77705 -10 
-1.60606  2.8371 -10 
-1.54545  2.88345 -10 
-1.48485  2.91462 -10 
-1.42424  2.92973 -10 
-1.36364  2.92824 -10 
-1.30303  2.91067 -10 
-1.24242  2.88001 -10 
-1.18182  2.84286 -10 
-1.12121  2.80899 -10 
-1.06061  2.7889 -10 
-1  2.79076 -10 
-0.939394  2.81815 -10 
-0.878788  2.86907 -10 
-0.818182  2.93632 -10 
-0.7651  3 -10 

# Contour 6, label: 
 0.7651 -3 -10 
 0.818182 -2.93632 -10 
 0.878788 -2.86907 -10 
 0.939394 -2.81815 -10 
 1 -2.79076 -10 
 1.06061 -2.7889 -10 
 1.12121 -2.80899 -10 
 1.18182 -2.84286 -10 
 1.24242 -2.88001 -10 
 1.30303 -2.91067 -10 
 1.36364 -2.92824 -10 
 1.42424 -2.92973 -10 
 1.48485 -2.91462 -10 
 1.54545 -2.88345 -10 
 1.60606 -2.8371 -10 
 1.66667 -2.77705 -10 
 1.72727 -2.70625 -10 
 1.78788 -2.63013 -10 
 1.84848 -2.55628 -10 
 1.90909 -2.49266 -10 
 1.9697 -2.44506 -10 
 2.0303 -2.41547 -10 
 2.09091 -2.40181 -10 
 2.15152 -2.39865 -10 
 2.21212 -2.39865 -10 
 2.27273 -2.39465 -10 
 2.33333 -2.38157 -10 
